teryt,municipality,%_vaccinated
1004063,gm.m-w. Piątek,49.2532
2204082,gm.w Trąbki Wielkie,49.2528
618011,Tomaszów Lubelski,49.2467
2602082,gm.w Sobków,49.2329
2402052,gm.w Jasienica,49.2322
3206053,gm.m-w. Mieszkowice,49.2165
1218033,gm.m-w. Kalwaria Zebrzydowska,49.2059
806052,gm.w Zwierzyn,49.199
221072,gm.w Stare Bogaczowice,49.1911
3001053,gm.m-w. Szamocin,49.1814
1019011,Zduńska Wola,49.1717
3015012,gm.w Kuślin,49.1677
3005053,gm.m-w. Wielichowo,49.1565
3020033,gm.m-w. Dobrzyca,49.1412
2413021,Miasteczko Śląskie,49.1238
414072,gm.w Osie,49.1018
2604172,gm.w Nowiny,49.0845
2213021,Skórcz,49.0702
401042,gm.w Aleksandrów Kujawski,49.0637
811082,gm.w Trzebiel,49.0603
224013,gm.m-w. Bardo,49.0595
1002022,gm.w Bedlno,49.0595
403022,gm.w Dąbrowa Chełmińska,49.0553
411072,gm.w Topólka,49.0502
1603011,Kędzierzyn-Koźle,49.0445
2606043,gm.m-w. Opatów,49.0375
3012043,gm.m-w. Krotoszyn,49.0328
617011,Świdnik,49.0287
3202063,gm.m-w. Recz,49.0275
224053,gm.m-w. Ząbkowice Śląskie,49.0259
202021,Dzierżoniów,49.0249
2814093,gm.m-w. Olsztynek,49.0095
2412032,gm.w Jejkowice,49.0084
2806083,gm.m-w. Ryn,49.0071
1810011,Łańcut,49.0014
3010073,gm.m-w. Rychwał,48.9943
223073,gm.m-w. Sobótka,48.9901
1423072,gm.w Rusinów,48.9839
3008022,gm.w Bralin,48.9809
2213031,Starogard Gdański,48.9656
208011,Duszniki-Zdrój,48.9597
